#;Name;Algorithm;Featurization;Excluded from predictive evaluation;Excluded from uncertainty evaluation
225;P11229;XGB;MACCS;;
226;P11229;XGB;MFC;;
227;P11229;XGB;RDKit;;
228;P11229;XGB;CDDD;;
229;P11229;SVM;MACCS;;
230;P11229;SVM;MFC;;
231;P11229;SVM;RDKit;;
232;P11229;SVM;CDDD;;
233;P11229;Shallow;MACCS;;
234;P11229;Shallow;MFC;;
235;P11229;Shallow;RDKit;;
236;P11229;Shallow;CDDD;;
237;P11229;Deep;MACCS;;
238;P11229;Deep;MFC;;x
239;P11229;Deep;RDKit;;
240;P11229;Deep;CDDD;;
241;P12931;RF;MACCS;;
242;P12931;RF;MFC;;
243;P12931;RF;RDKit;;
244;P12931;RF;CDDD;;
245;P12931;XGB;MACCS;;
246;P12931;XGB;MFC;;
247;P12931;XGB;RDKit;;
248;P12931;XGB;CDDD;;
249;P12931;SVM;MACCS;x;
250;P12931;SVM;MFC;;
251;P12931;SVM;RDKit;;
252;P12931;SVM;CDDD;;
253;P12931;Shallow;MACCS;;
254;P12931;Shallow;MFC;;
255;P12931;Shallow;RDKit;;
256;P12931;Shallow;CDDD;;
257;P12931;Deep;MACCS;;
258;P12931;Deep;MFC;;
259;P12931;Deep;RDKit;;
260;P12931;Deep;CDDD;;
261;P16581;RF;MACCS;;
262;P16581;RF;MFC;;x
263;P16581;RF;RDKit;;x
264;P16581;RF;CDDD;;x
265;P16581;XGB;MACCS;;
266;P16581;XGB;MFC;;x
267;P16581;XGB;RDKit;;x
268;P16581;XGB;CDDD;;x
269;P16581;SVM;MACCS;x;x
270;P16581;SVM;MFC;x;x
271;P16581;SVM;RDKit;x;x
272;P16581;SVM;CDDD;;x
273;P16581;Shallow;MACCS;x;x
274;P16581;Shallow;MFC;;x
275;P16581;Shallow;RDKit;;x
276;P16581;Shallow;CDDD;;
277;P16581;Deep;MACCS;;x
278;P16581;Deep;MFC;;x
279;P16581;Deep;RDKit;;x
280;P16581;Deep;CDDD;;x
281;P17252;RF;MACCS;;
282;P17252;RF;MFC;;
283;P17252;RF;RDKit;;
284;P17252;RF;CDDD;;
285;P17252;XGB;MACCS;;
286;P17252;XGB;MFC;;
287;P17252;XGB;RDKit;;
288;P17252;XGB;CDDD;;
289;P17252;SVM;MACCS;;x
290;P17252;SVM;MFC;;
291;P17252;SVM;RDKit;;
292;P17252;SVM;CDDD;;
293;P17252;Shallow;MACCS;;
294;P17252;Shallow;MFC;;
295;P17252;Shallow;RDKit;;
296;P17252;Shallow;CDDD;;
297;P17252;Deep;MACCS;;x
298;P17252;Deep;MFC;;x
299;P17252;Deep;RDKit;;
300;P17252;Deep;CDDD;;
301;P18089;RF;MACCS;;
302;P18089;RF;MFC;;x
303;P18089;RF;RDKit;;x
304;P18089;RF;CDDD;;
305;P18089;XGB;MACCS;;x
306;P18089;XGB;MFC;;x
307;P18089;XGB;RDKit;;x
308;P18089;XGB;CDDD;;x
309;P18089;SVM;MACCS;x;
310;P18089;SVM;MFC;x;x
311;P18089;SVM;RDKit;x;x
312;P18089;SVM;CDDD;x;x
313;P18089;Shallow;MACCS;x;x
314;P18089;Shallow;MFC;;x
